iter	Passed	Remaining
486	597	628
487	597	627
488	598	625
489	600	624
490	601	623
491	601	621
492	602	620
493	603	618
494	605	617
495	606	615
496	606	614
497	608	613
498	609	611
499	610	610
500	611	609
501	613	608
502	614	607
503	615	605
504	616	604
505	617	602
506	618	601
507	619	599
508	620	598
509	621	596
510	622	595
511	623	594
512	624	593
513	626	592
514	627	590
515	628	589
516	629	588
517	630	586
518	631	585
519	632	583
520	633	582
521	634	581
522	635	579
523	636	578
524	637	577
525	638	575
526	639	574
527	640	572
528	641	571
529	642	570
530	643	568
531	644	567
532	645	565
533	646	564
534	647	562
535	648	561
536	649	559
537	650	558
538	651	557
539	652	555
540	653	554
541	654	553
542	655	551
543	656	550
544	657	548
545	658	547
546	659	545
547	660	544
548	661	543
549	662	541
550	663	540
551	663	538
552	664	537
553	665	535
554	666	534
555	667	533
556	668	531
557	669	530
558	670	528
559	671	527
560	672	526
561	673	524
562	674	523
563	675	522
564	677	521
565	678	520
566	679	518
567	680	517
568	681	515
569	681	514
570	682	513
571	683	511
572	684	510
573	685	508
574	686	507
575	687	506
576	688	504
577	689	503
578	690	502
579	691	500
580	692	499
581	693	498
582	694	496
583	695	495
584	696	493
585	697	492
586	698	491
587	699	489
588	700	488
589	701	487
590	702	485
591	702	484
592	704	483
593	705	481
594	706	480
595	707	479
596	708	478
597	708	476
598	709	475
599	710	473
600	711	472
601	712	471
602	713	469
603	714	468
604	715	467
605	716	465
606	717	464
607	718	463
608	719	461
609	720	460
610	721	459
611	722	458
612	723	456
613	724	455
614	725	454
615	726	452
616	727	451
617	728	450
618	729	448
619	730	447
620	731	446
621	732	445
622	733	444
623	734	442
624	735	441
625	736	440
626	737	438
627	738	437
628	739	435
629	740	434
630	740	433
631	742	432
632	743	430
633	743	429
634	744	428
635	745	426
636	747	425
637	748	424
638	749	423
639	750	422
640	751	420
641	752	419
642	753	418
643	754	416
644	755	415
645	756	414
646	757	413
647	758	412
648	759	410
649	760	409
650	761	408
651	762	406
652	763	405
653	764	404
654	764	402
655	765	401
656	766	400
657	767	398
658	768	397
659	769	396
660	770	395
661	771	393
662	772	392
663	773	391
664	774	389
665	775	388
666	775	387
667	776	386
668	777	384
669	778	383
670	779	382
671	780	380
672	781	379
673	781	378
674	782	376
675	783	375
676	784	374
677	785	373
678	786	371
679	787	370
680	788	369
681	789	367
682	790	366
683	790	365
684	792	364
685	793	362
686	793	361
687	794	360
688	795	359
689	796	357
690	797	356
691	798	355
692	798	353
693	799	352
694	800	351
695	801	350
696	802	348
697	803	347
698	803	346
699	804	344
700	805	343
701	806	342
702	807	341
703	808	339
704	809	338
705	809	337
706	810	336
707	811	334
708	812	333
709	813	332
710	814	330
711	814	329
712	815	328
713	816	327
714	817	326
715	818	324
716	820	323
717	821	322
718	822	321
719	823	320
720	824	319
721	825	317
722	826	316
723	827	315
724	828	314
725	829	313
726	830	311
727	831	310
728	832	309
729	833	308
730	834	307
731	835	305
732	836	304
733	837	303
734	838	302
735	838	300
736	839	299
737	840	298
738	841	297
739	842	296
740	843	294
741	844	293
742	845	292
743	846	291
744	847	289
745	848	288
746	849	287
747	850	286
748	851	285
749	852	284
750	853	282
751	854	281
752	855	280
753	856	279
754	857	278
755	858	277
756	859	275
757	860	274
758	861	273
759	862	272
760	863	271
761	865	270
762	865	268
763	866	267
764	867	266
765	868	265
766	869	264
767	870	263
768	871	261
769	872	260
770	873	259
771	874	258
772	875	256
773	875	255
774	876	254
775	877	253
776	878	252
777	879	251
778	880	249
779	881	248
780	882	247
781	883	246
782	884	245
783	885	243
784	886	242
785	887	241
786	888	240
787	889	239
788	889	237
789	890	236
790	892	235
791	893	234
792	893	233
793	894	232
794	895	230
795	896	229
796	897	228
797	898	227
798	899	226
799	900	225
800	900	223
801	901	222
802	902	221
803	903	220
804	904	219
805	905	217
806	906	216
807	907	215
808	908	214
809	909	213
810	910	212
811	911	210
812	912	209
813	912	208
814	913	207
815	914	206
816	915	205
817	915	203
818	916	202
819	917	201
820	918	200
821	919	199
822	920	198
823	921	196
824	922	195
825	923	194
826	924	193
827	925	192
828	926	191
829	927	189
830	928	188
831	928	187
832	930	186
833	931	185
834	932	184
835	933	183
836	934	181
837	935	180
838	936	179
839	936	178
840	937	177
841	938	176
842	939	175
843	940	173
844	941	172
845	942	171
846	943	170
847	944	169
848	945	168
849	946	167
850	947	165
851	948	164
852	949	163
853	950	162
854	951	161
855	952	160
856	953	159
857	954	158
858	955	156
859	956	155
860	957	154
861	958	153
862	959	152
863	960	151
864	961	150
865	962	148
866	963	147
867	963	146
868	965	145
869	965	144
870	966	143
871	967	142
872	968	140
873	969	139
874	970	138
875	971	137
876	972	136
877	973	135
878	973	134
879	974	132
880	975	131
881	976	130
882	977	129
883	978	128
884	979	127
885	980	126
886	981	125
887	982	123
888	983	122
889	984	121
890	985	120
891	986	119
892	987	118
893	988	117
894	989	116
895	990	114
896	990	113
897	991	112
898	992	111
899	993	110
900	996	109
901	997	108
902	998	107
903	998	106
904	999	104
905	1000	103
906	1001	102
907	1002	101
908	1003	100
909	1004	99
910	1005	98
911	1006	97
912	1007	96
913	1008	94
914	1009	93
915	1010	92
916	1011	91
917	1012	90
918	1013	89
919	1014	88
920	1015	87
921	1016	85
922	1017	84
923	1017	83
924	1018	82
925	1019	81
926	1020	80
927	1021	79
928	1022	78
929	1023	77
930	1024	75
931	1025	74
932	1026	73
933	1027	72
934	1028	71
935	1029	70
936	1030	69
937	1030	68
938	1032	67
939	1032	65
940	1033	64
941	1034	63
942	1035	62
943	1036	61
944	1037	60
945	1038	59
946	1039	58
947	1040	57
948	1041	55
949	1042	54
950	1043	53
951	1044	52
952	1045	51
953	1046	50
954	1047	49
955	1048	48
956	1049	47
957	1050	46
958	1051	44
959	1051	43
960	1053	42
961	1053	41
962	1054	40
963	1055	39
964	1056	38
965	1057	37
966	1058	36
967	1059	35
968	1060	33
969	1061	32
970	1062	31
971	1063	30
972	1064	29
973	1065	28
974	1066	27
975	1067	26
976	1068	25
977	1069	24
978	1070	22
979	1071	21
980	1072	20
981	1073	19
982	1074	18
983	1075	17
984	1076	16
985	1077	15
986	1078	14
987	1079	13
988	1080	12
989	1081	10
990	1081	9
991	1083	8
992	1083	7
993	1084	6
994	1085	5
995	1086	4
996	1087	3
997	1088	2
998	1089	1
999	1090	0
